iter	Logloss
0	0.618084363
1	0.5578724156
2	0.509173997
3	0.4686961031
4	0.4382908664
5	0.411537533
6	0.3901058398
7	0.3742195503
8	0.3591306772
9	0.3476377541
10	0.3373928923
11	0.3287861493
12	0.3214432075
13	0.3152256236
14	0.3094066725
15	0.3041312354
16	0.299937378
17	0.29635302
18	0.293628614
19	0.2910562385
20	0.288501659
21	0.2864899487
22	0.2845520216
23	0.2827554174
24	0.2811162985
25	0.2794122451
26	0.2781673062
27	0.2769320691
28	0.2759148721
29	0.2747661035
30	0.273828235
31	0.2729991588
32	0.2721081658
33	0.2713121252
34	0.2707039021
35	0.2699460407
36	0.2693326139
37	0.2687275999
38	0.2681774781
39	0.267653577
40	0.2672007101
41	0.266761132
42	0.2662892305
43	0.2657926062
44	0.2653940716
45	0.2648909756
46	0.2644708149
47	0.2639972115
48	0.2635985066
49	0.2632092122
50	0.2628047694
51	0.2624936664
52	0.2621346237
53	0.2618003488
54	0.261515196
55	0.261220848
56	0.2609106755
57	0.2606266954
58	0.260376834
59	0.260084469
60	0.2597944998
61	0.2595642632
62	0.2592926264
63	0.2590362628
64	0.2587959339
65	0.2585632265
66	0.2583460948
67	0.258157301
68	0.2579182845
69	0.2577111824
70	0.2574703083
71	0.2572494894
72	0.2570343832
73	0.2568053685
74	0.2566094705
75	0.2564190087
76	0.2562599192
77	0.2560607572
78	0.2558558157
79	0.2556772879
80	0.2554923059
81	0.2553485768
82	0.2551919114
83	0.25503954
84	0.2548465933
85	0.2546509584
86	0.2545067268
87	0.2543020865
88	0.2541437877
89	0.2539793147
90	0.2538110995
91	0.2536406805
92	0.253509025
93	0.2533843115
94	0.2532081314
95	0.2530693104
96	0.2528818535
97	0.2527339379
98	0.2525884393
99	0.25247776
100	0.2523409896
101	0.2521819203
102	0.2520456302
103	0.2518603978
104	0.2517282116
105	0.2516120303
106	0.2514926543
107	0.2513627886
108	0.2512104036
109	0.2511022718
110	0.2509906057
111	0.2508912053
112	0.2507772177
113	0.2506349229
114	0.2505402852
115	0.2504475998
116	0.2503384902
117	0.2502221665
118	0.2501105244
119	0.2499966248
120	0.2498825405
121	0.2497659692
122	0.2496263559
123	0.2494917926
124	0.2493767568
125	0.2492928361
126	0.249178841
127	0.2490774268
128	0.2489817781
129	0.2488906209
130	0.2487712946
131	0.2486790771
132	0.2485791798
133	0.2484768608
134	0.2483756198
135	0.2482824548
136	0.2481571068
137	0.2480581549
138	0.2479363281
139	0.2478146795
140	0.2477226993
141	0.2476296751
142	0.2475226299
143	0.2474268928
144	0.2473259497
145	0.2472219224
146	0.2471160368
147	0.2470226359
148	0.2469441822
149	0.2468220536
150	0.2467343475
151	0.2466473163
152	0.2465615394
153	0.2464742703
154	0.2463918127
155	0.2462665472
156	0.2461866272
157	0.2460867168
158	0.2459783006
159	0.2458970418
160	0.2458035068
161	0.2456936933
162	0.2456265122
163	0.2455079714
164	0.2454031067
165	0.2452961518
166	0.2452050209
167	0.2451074956
168	0.245025262
169	0.244927024
170	0.2448202045
