iter	Passed	Remaining
0	82	16480
1	172	17089
2	261	17180
3	350	17167
4	432	16859
5	514	16639
6	594	16401
7	679	16300
8	760	16137
9	836	15895
10	908	15607
11	993	15559
12	1072	15433
13	1148	15256
14	1222	15075
15	1296	14914
16	1371	14766
17	1446	14625
18	1521	14495
19	1593	14340
20	1665	14199
21	1746	14128
22	1823	14035
23	1894	13891
24	1975	13825
25	2040	13655
26	2119	13580
27	2190	13458
28	2275	13417
29	2347	13303
30	2420	13193
31	2486	13054
32	2554	12929
33	2629	12838
34	2708	12768
35	2776	12647
36	2848	12548
37	2915	12430
38	2993	12358
39	3072	12290
40	3147	12206
41	3220	12115
42	3281	11982
43	3354	11892
44	3430	11814
45	3496	11705
46	3561	11593
47	3636	11516
48	3706	11420
49	3796	11388
50	3861	11280
51	3932	11192
52	4011	11127
53	4082	11038
54	4144	10926
55	4205	10814
56	4273	10720
57	4339	10624
58	4412	10545
59	4489	10475
60	4559	10389
61	4628	10303
62	4710	10243
63	4781	10161
64	4852	10077
65	4936	10022
66	5005	9935
67	5085	9871
68	5165	9806
69	5243	9737
70	5329	9683
71	5404	9607
72	5480	9533
73	5559	9466
74	5639	9398
75	5723	9338
76	5790	9250
77	5856	9159
78	5924	9074
79	6001	9001
80	6071	8919
81	6136	8831
82	6213	8758
83	6281	8673
84	6347	8587
85	6434	8528
86	6498	8441
87	6576	8370
88	6645	8288
89	6705	8195
90	6773	8113
91	6847	8038
92	6918	7959
93	6998	7892
94	7071	7815
95	7157	7754
96	7232	7679
97	7308	7607
98	7383	7532
99	7470	7470
100	7545	7396
101	7615	7316
102	7687	7239
103	7755	7159
104	7816	7071
105	7892	6998
106	7971	6928
107	8040	6849
108	8114	6774
109	8186	6697
110	8250	6615
111	8336	6550
112	8416	6480
113	8495	6408
114	8570	6334
115	8631	6250
116	8716	6183
117	8782	6102
118	8850	6024
119	8923	5948
120	9010	5882
121	9081	5806
122	9155	5731
123	9228	5655
124	9291	5574
125	9354	5494
126	9429	5420
127	9507	5347
128	9583	5274
129	9658	5200
130	9739	5129
131	9800	5048
132	9874	4974
133	9956	4903
134	10022	4825
135	10097	4751
136	10182	4682
137	10250	4605
138	10326	4531
139	10394	4454
140	10473	4382
141	10538	4304
142	10612	4230
143	10679	4153
144	10761	4081
145	10846	4011
146	10926	3939
147	10997	3863
148	11065	3787
149	11149	3716
150	11224	3642
151	11287	3564
152	11361	3490
153	11435	3415
154	11504	3340
155	11573	3264
156	11662	3194
157	11727	3117
158	11788	3039
159	11861	2965
160	11935	2891
161	12016	2818
162	12082	2742
163	12157	2668
164	12229	2594
165	12301	2519
166	12383	2447
167	12448	2371
168	12520	2296
169	12593	2222
170	12660	2147
171	12731	2072
172	12822	2001
173	12895	1926
174	12961	1851
175	13038	1778
176	13110	1703
177	13187	1629
178	13273	1557
179	13357	1484
180	13443	1411
181	13515	1336
182	13594	1262
183	13668	1188
184	13737	1113
185	13805	1039
186	13881	965
187	13947	890
188	14010	815
189	14082	741
190	14157	667
191	14237	593
192	14321	519
193	14396	445
194	14476	371
195	14546	296
196	14619	222
197	14694	148
198	14765	74
199	14843	0
